locustag,title,description,function,product,essential,protID
BSU14280,moeA,molybdopterin molybdenumtransferase,nitrate respiration,molybdopterin molybdenumtransferase,no,O31703
BSU14630,speA,arginine decarboxylase  required for [wiki|biofilm formation],spermidine  polyamine biosynthesis,arginine decarboxylase,no,P21885
BSU20170,yosC,unknown,unknown,unknown,no,O31886
BSU06620,ligA,DNA ligase (NAD-dependent),replication,DNA ligase (NAD-dependent),yes,O31498
BSU39050,katE,catalase  general stress protein,detoxification (degradation) of hydrogen peroxide,catalase 2,no,P42234
BSU05390,ydfF,similar to transcriptional regulator ([wiki|ArsR family]),unknown,unknown,no,P96683
BSU25990,yqbS,similar to phage-related protein,unknown,unknown,no,P45934
new17803991780532,S612,new RNA feature  independent transcript,,independent transcript,,
new32554323256404,S1214,new RNA feature  independent transcript,,independent transcript,,
BSU36200,ywqI,unknown,unknown,unknown,no,P96721
BSU39070,bglS,endo-beta-1 3-1 4 glucanase,lichenan degradation,endo-beta-1 3-1 4 glucanase,no,P04957
BSU22660,trpC,indole-3-glycerol-phosphate synthase,biosynthesis of tryptophan,indole-3-glycerol-phosphate synthase,no,P03964
BSU33610,rnr,RNase R  required for protection against paraquate stress,nonspecific degradation of rRNA,exoribonuclease RNase R (EC 3.1.-.-),no,O32231
BSU35500,degS,two-component sensor kinase for exoenzyme and competence regulation  kinase activity is activated in response to inhibition of flagellar rotation,regulation of degradative enzyme and genetic competence,two-component sensor kinase,no,P13799
BSU32730,metQ,methionine [wiki|ABC transporter] (binding lipoprotein),methionine uptake,methionine [wiki|ABC transporter] (binding lipoprotein),no,O32167
new37624793762776c,S1409,new RNA feature  5'UTR of ywnF,,5'UTR of ywnF,,
new42154734215670,S1583,new RNA feature  independent transcript,,independent transcript,,
BSU35440,yvyF,similar to flagellar protein,unknown,unknown,no,P39807
BSU36990,ywkF,sporulation protein,unknown,sporulation protein,no,P45874
BSU09620,yhdW,similar to glycerophosphodiester phosphodiesterase,unknown,unknown,no,O07592
BSU35450,comFC,late competence gene  resembles type 1 phosphoribosyl transferases,nucleotide scavenging,unknown,no,P39147
BSU11870,metI,O-succinylhomoserine lyase (L-cysteine  H<sub>2</sub>S  methanethiol  elimination),biosynthesis of methionine,O-succinylhomoserine lyase (L-cysteine  H<sub>2</sub>S  methanethiol  elimination),no,O31631
BSU06269,ydzJ,unknown,unknown,unknown,-,O24817
BSUmiscRNA12,BSU_misc_RNA_12,null,null,,,
BSU06550,yecA,similar to L-methionine and branched chain amino acids transporter,unknown,unknown,no,O34560
BSUmiscRNA48,BSU_misc_RNA_48,null,null,,,
BSU38180,ywzA,general stress protein,unknown,unknown,no,O32282
BSU31630,mrpD,H<sup>+</sup> transporter subunit of the Na<sup>+</sup>/H<sup>+</sup> antiporter  multiple resistance and pH homeostasis,sodium export,Na<sup>+</sup>/H<sup>+</sup> antiporter subunit,yes,O05229
new12113721211476,S403,new RNA feature  5'UTR of appD,,5'UTR of appD,,
BSU04650,ndoAI,antitoxin  antagonist for [[protein|2E5A557E417CB355331CC0555D46A79793EB90B3|EndoA]],inhibition of [[protein|2E5A557E417CB355331CC0555D46A79793EB90B3|EndoA]],antitoxin,no,P96621
BSU08020,yfjO,similar to ribosomal RNA methyltransferase,unknown,putative rRNA methyltransferase,no,O31545
new41255934125741c,S1543,new RNA feature  intergenic region,,intergenic region,,
new649718649826,S207,new RNA feature  5'UTR of groES,,5'UTR of groES,,
BSU03789,yczN,putative toxin,unknown,unknown,no,C0H3V1
new35298563529913c,S1313,new RNA feature  5'UTR of epsA,,5'UTR of epsA,,
BSU11460,oppD,oligopeptide [wiki|ABC transporter ](ATP-binding protein),initiation of [wiki|sporulation]  competence development,oligopeptide [wiki|ABC transporter ](ATP-binding protein),no,P24136
BSU22590,ypiA,unknown,unknown,unknown,no,P54389
new19157941916005c,S656,new RNA feature  3'UTR of yndM,,3'UTR of yndM,,
BSU04110,lipC,spore coat protein  phospholipase implicated in spore germination,spore germination,spore coat phospholipase B,no,P42969
new38099803810619c,S1440,new RNA feature  5'UTR of spo0F,,5'UTR of spo0F,,
new37415933741676,S1400,new RNA feature  3'UTR of ywpF,,3'UTR of ywpF,,
BSU05240,ydeL,similar to transcriptional regulator ([wiki|MocR/ GabR family]),unknown,unknown,no,P96669
BSU30280,melD,[wiki|ABC transporter] subunit for melibiose and raffinose (permease),uptake of melibiose and raffinose,[wiki|ABC transporter] (permease),no,O34706
new252315252458,S89,new RNA feature  intergenic region,,intergenic region,,
BSUrRNA8,rrnJ-5S,5S rRNA,translation,ribosomal RNA-5S,no,
new37442363744320c,S1401,new RNA feature  5'UTR of ywpB,,5'UTR of ywpB,,
BSU22230,ptsA,[[category|SW.1.2.2|PTS]] EIIA component,uptake and phosphorylation of maltose  N-acetylglucosamine  sucrose  and trehalose,[[category|SW.1.2.2|PTS]] EIIA component,no,P50829
BSU12930,dppB,dipeptide [wiki|ABC transporter] (permease),uptake of dipeptides,dipeptide [wiki|ABC transporter] (permease),no,P26903
new40391604039225c,S1515,new RNA feature  5'UTR of yxiB,,5'UTR of yxiB,,
BSU39950,yxaJ,unknown,unknown,unknown,no,P42109
BSU09210,yhcT,similar to pseudouridylate synthase,RNA modification,putative [wiki|sporulation]-specific pseudouridylate synthase,no,P54604
BSU38390,ywbA,similar to [[category|SW.1.2.2|PTS]]  putative EIIC component,unknown,unknown,no,P39584
new27803312780484c,S1029,new RNA feature  independent transcript,,independent transcript,,
BSU13270,ykoI,unknown,unknown,unknown,no,O34551
BSU15730,fmt,methionyl-tRNA formyltransferase,formylation of Met-tRNA(fMet),methionyl-tRNA formyltransferase,no,P94463
BSU26510,yrkH,unknown,unknown,unknown,no,P54435
BSU40390,walH,negative effector of [[protein|E88978809272FAC2520DB4ABCA0554F8028F3451]]  controls cell wall metabolism,control of cell wall metabolism,negative effector of [[protein|E88978809272FAC2520DB4ABCA0554F8028F3451]],no,Q794W0
new22259952226059,S800,new RNA feature  5'UTR of yonK,,5'UTR of yonK,,
new36316093631729c,S1350,new RNA feature,,,,
BSU14720,ylaB,unknown,unknown,unknown,no,O07626
new25297262529888c,S918,new RNA feature  intergenic region,,intergenic region,,
BSU33760,sdpB,membrane protein  required for [[protein|820635420B3980B620F3E3D7ACF7EDE9DC6275AD]] toxin maturation,maturation of the [[protein|820635420B3980B620F3E3D7ACF7EDE9DC6275AD]] toxin,unknown,no,O34616
BSU32830,fadA,acetyl-CoA C-acyltransferase,fatty acid degradation,acetyl-CoA C-acyltransferase,no,O32177
new12297591229848,S412,new RNA feature  intergenic region,,intergenic region,,
BSU39810,csbC,general stress protein  similar to sugar-H<sup>+</sup> symporter  required for protection against paraquat stress,protection against paraquat stress,putative sugar-H<sup>+</sup> symporter,no,P46333
new37741883774399c,S1418,new RNA feature  intergenic region,,B-1 RNA motif,,
BSU32040,yuiF,membrane protein  similar to histidine transporter,uptake of histidine,potential histidine transporter,no,O32105
BSU37240,ywiE,minor cardiolipin synthetase  general stress protein  required for protection against paraquat stress,phospholipiid biosynthesis  protection against paraquat stress,minor cardiolipin synthetase,no,P45860
BSUmiscRNA61,mswI,,,,,
BSU02070,csgA,required for the ability of the germinating spore to resume vegetative growth,spore germination,unknown,no,P54379
new34517713451862c,S1287,new RNA feature  intergenic region,,intergenic region,,
BSU08320,lnrM,similar to [wiki|ABC transporter] (membrane protein)  involved in resistance to linearmycin,resistance to linearmycin,[wiki|ABC transporter] (membrane protein),no,P94441
BSU17280,ymaD,putative peroxiredoxin,protection against oxidative stress,putative peroxiredoxin,no,O31790
new11689181169042,S393,new RNA feature  5'UTR of yisY,,5'UTR of yisY,,
BSU05600,ydgE,protein N-acetyltransferase  may acetylate [[protein|EFD8FC875B6787B1512C5FC4C81E7E4C9BD93028|HBsu]],unknown,unknown,no,P96703
BSU13520,ykrP,putative membrane-bound acyltransferase,unknown,unknown,no,O31660
BSU11120,yitT,general stress protein  required for protection against paraquat stress,protection against paraquat stress,unknown,no,P39803
new25523072552445,S924,new RNA feature  5'UTR of sinI,,5'UTR of sinI,,
BSU07410,yfmN,unknown,unknown,unknown,no,O06472
BSU33250,rsiO,anti-Sig([[protein|6359025A73C0BD313F5BCC6F56FE88B820902AAA]]-[[protein|AE8D4F07EFB17DA727D80229C3E72075928AA352]]),control of Sig([[protein|6359025A73C0BD313F5BCC6F56FE88B820902AAA]]-[[protein|AE8D4F07EFB17DA727D80229C3E72075928AA352]]) activity,anti-Sig([[protein|6359025A73C0BD313F5BCC6F56FE88B820902AAA]]-[[protein|AE8D4F07EFB17DA727D80229C3E72075928AA352]]),no,O34686
BSU32630,yurR,similar to glycine oxidase,unknown,unknown,no,O32159
BSU27490,yrrB,unknown,unknown,unknown,no,O34452
new13869841387035c,S472,new RNA feature  5'UTR of ispA,,5'UTR of ispA,,
BSU10750,yisK,modulator of [[protein|6ED386D49F973C1F6B1076974F54275DD583C9D3]] activity  similar to 5-oxo-1 2 5-tricarboxilic-3-penten acid decarboxylase,control of [wiki|cell division],modulator of [[protein|6ED386D49F973C1F6B1076974F54275DD583C9D3]] activity,no,O06724
BSU09520,sigM,[wiki|RNA polymerase] ECF-type [wiki|sigma factor] [[protein|081DF3EE9FA56209D648C7677188C61CE3AA8E41]]  required for adaptation to inhibitors of peptidoglycan synthesis,adaptation to inhibitors of peptidoglycan synthesis,[wiki|RNA polymerase] ECF-type [wiki|sigma factor] [[protein|081DF3EE9FA56209D648C7677188C61CE3AA8E41]],no,O07582
BSU15260,ylxX,unknown,unknown,unknown,no,Q45544
BSU39600,yxeC,unknown,unknown,unknown,no,P54942
BSU11382,appA/2,oligopeptide ABC transporter  inactive pseudogene in strain 168,unknown,oligopeptide ABC transporter,no,
BSU00250,xpaC,hydrolysis of 5-bromo-4-chloroindolyl phosphate,unknown,unknown,no,P37467
new14548061455063,S504,new RNA feature  intergenic region,,intergenic region,,
BSUmiscRNA79,surC,new RNA feature  intergenic region,,intergenic region,,
new10729631073105c,S351,new RNA feature  3'UTR of scoC,,3'UTR of scoC,,
BSU21190,yomX,unknown,unknown,unknown,no,O31960
BSUmiscRNA20,BSU_misc_RNA_20,null,null,,,
BSU30180,ytbQ,unknown,unknown,unknown,no,P53560
new35743213577707,S1326,new RNA feature  independent transcript,,independent transcript,,
BSU20040,yosP,similar to ribonucleoside-diphosphate reductase (beta subunit),unknown,unknown,no,O30601
BSU25569,yqzM,unknown,unknown,unknown,-,C0H453
BSU39150,yxiJ,unknown,unknown,unknown,no,P42320
BSU10420,comK,competence transcription factor (CTF),regulation of [wiki|genetic competence] and DNA uptake,competence transcription factor (CTF),no,P40396
new34718243472588,S1299,new RNA feature  intergenic region,,intergenic region,,
new27138032713911c,S993,new RNA feature  intergenic region,,intergenic region,,
new15386931539646,S537,new RNA feature  3'UTR of ykzC,,3'UTR of ykzC,,
BSU23616,mciZ,[[protein|41872E2EF00C79918DD077F2EF78F37E24FEB110]] inhibition peptide,inhibits GTPase activity of [[protein|41872E2EF00C79918DD077F2EF78F37E24FEB110]] and Z ring formation during sporulation,[[protein|41872E2EF00C79918DD077F2EF78F37E24FEB110]] inhibition peptide,no,L8EBJ9
BSU25160,ispH,(E)-4-hydroxy-3-methylbut-2-enyl diphosphate reductase  7th step in the MEP pathway of isoprenoid biosynthesis,MEP pathway of isoprenoid biosynthesis,(E)-4-hydroxy-3-methylbut-2-enyl diphosphate reductase,yes,P54473
BSU30390,bceS,two-component sensor kinase  regulation of [[gene|8E0DE8FE7E9C12495C4DCADA74D838FED088867D]]-[[gene|bceB ]]in response to bacitracin  plectasin  mersacidin and actagardine,resistance against toxic peptides,two-component sensor kinase,no,O35044
new4522445399c,S23,new RNA feature  5'UTR of abrB,,5'UTR of abrB,,
BSU22390,ypmA,unknown,unknown,unknown,no,P54395
BSU39750,iolB,formation of 2-deoxy-5-keto-gluconic acid (4th reaction),myo-inositol catabolism,formation of 2-deoxy-5-keto-gluconic acid (4th reaction),no,P42413
BSU04745,BSU_04745,,,,,
new10717091071971c,S348,new RNA feature  independent transcript,,independent transcript,,
new17442971744366,S598,new RNA feature  5'UTR of spoVFA,,5'UTR of spoVFA,,
BSU23780,yqjQ,similar to ketoacyl reductase,unknown,unknown,no,P54554
new28973412897467c,S1072,new RNA feature  5' of BSU_misc_RNA_45,,5' of BSU_misc_RNA_45,,
BSU14150,ykuN,flavodoxin  binds FMN  replaces ferredoxin under conditions of iron limitation  probably involved in electron transfer to nitric oxide synthase,electron transfer,flavodoxin,no,O34737
BSU21990,ypdQ,similar to RNase HI,unknown,unknown,no,P54162
BSU16520,frr,ribosome recycling factor  catalyzes the dissociation of ribosome subunits following peptide chain release in translation termination,translation,ribosome recycling factor,yes,P81101
BSU14000,patA,N-acetyl-L L-diaminopimelate aminotransferase,biosynthesis of lysine and peptidoglycan,aminotransferase,yes,P16524
BSU27809,yrzT,unknown,unknown,unknown,-,C0H464
BSU36710,fdhD,sulphurtransferase  essential for the activity of the formate dehydrogenases [[protein|E54F39E72DC4881E886159607C2B424A41DE0D01]]-[[protein|01C43D05A53BF4B0F505D9C9CCAAFA1AF9E94F87]] and [[protein|A4304213CFC152B601B2EED2B9B3A0A3AB4E6A81]]-[[protein|364BC3B51D8DF152C2DF31046D4F80595C75884B]],sulphur transfer to formate dehydrogenases [[protein|E54F39E72DC4881E886159607C2B424A41DE0D01]]-[[protein|01C43D05A53BF4B0F505D9C9CCAAFA1AF9E94F87]] and [[protein|A4304213CFC152B601B2EED2B9B3A0A3AB4E6A81]]-[[protein|364BC3B51D8DF152C2DF31046D4F80595C75884B]],sulphurtransferase,no,P39756
BSU26450,yrkN,unknown,unknown,unknown,no,P54441
BSU27020,yraA,general stress protein  degradation of damaged thiol-containing proteins  glyoxalase III-like enzyme,detoxification of methylglyoxal,glyoxalase III-like enzyme,no,O06006
new18848801884967,S629,new RNA feature  intergenic region,,intergenic region,,
BSUmiscRNA2,scr,4.5 S RNA  causes RNA-driven elongation arrest by interaction with the 23S rRNA,presecretory protein translocation,small cytoplasmic RNA (scRNA  4.5S RNA),yes,
BSU25090,yqfW,unknown,unknown,unknown,no,P54480
BSU24630,sipW,bifunctional signal peptidase I that controls surface-adhered [wiki|biofilm formation] and processes [[protein|BF97457E986656E4A9FE7A858F5BDF1759850D5C]] and [[protein|8C13E1EF5437DD8F9906643DEDCBB18DABE3B9E3]],[wiki|biofilm formation],signal peptidase I,no,P54506
BSUtRNA34,trnD-Asp,null,translation,transfer RNA-Asp,no,
new34637343464253c,S1292,new RNA feature  independent transcript,,independent transcript,,
BSU17330,miaA,tRNA isopentenylpyrophosphate transferase,tRNA modification,tRNA isopentenylpyrophosphate transferase,no,O31795
BSU08380,yfiS,similar to multidrug resistance protein,unknown,unknown,no,O31561
BSU37030,racA,cell division protein,,cell division protein,no,P45870
new21987662198847c,S779,new RNA feature  intergenic region,,intergenic region,,
BSU32660,glxB,glyoxalase II,detoxification of methylglyoxal,glyoxalase II,no,O32161
new31943493194635,S1188,new RNA feature  3'UTR of yubC,,3'UTR of yubC,,
BSU19680,yozE,unknown,unknown,unknown,no,O31864
BSU31860,yueB,membrane protein  part of the type VII protein secretion system [[protein|3CC3E197848E9688413C15CEA7DDCF0A7120A920]]-[[protein|3FE4A91C7D0B43C8704391F2F9493852B3AED9B0]]-[[protein|6007664F3D979B4D8D4662C7F6E5CF2F489268E3]]-[[protein|0A38B2E900532C9950DE6E629F5EB21D64E18B55]]-[[protein|DA52C4CD130F32734E01A52F2F395127D2260F61]]  receptor for phage SPPI,export of [[protein|50D2A03E2D7B5D461540FD157377E0D37F771888]],part of the type VII protein secretion system  receptor for phage SPPI,no,O32101
BSU18860,yozH,unknown,unknown,unknown,no,O31837
BSU36740,ywmC,unknown,unknown,unknown,no,P70960
BSU07120,lplC,transmembrane lipoprotein  putative [wiki|ABC transporter] (membrane protein),unknown,unknown,no,P39129
BSU21925,BSU_21925,,,,,
new33162133316329c,S1246,new RNA feature  intergenic region,,intergenic region,,
new25638032563987c,S928,new RNA feature  intergenic region,,intergenic region,,
BSU07900,yfkH,general stress protein  survival of ethanol and paraquat stresses,survival of stress conditions,unknown,no,O34437
new516099516240,S162,new RNA feature  5'UTR of ydcC,,5'UTR of ydcC,,
new15493841549464,S538,new RNA feature  5'UTR of ylaK,,5'UTR of ylaK,,
BSU38720,yxkO,ADP/ATP-dependent NAD(P)H-hydrate dehydratase  general stress protein  survival of ethanol stress,survival of ethanol stress  repair of hydrated NAD(P)H,ADP/ATP-dependent NAD(P)H-hydrate dehydratase,no,P94368
BSU15200,murD,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase,peptidoglycan precursor biosynthesis,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase,yes,Q03522
new24321602433082,S882,new RNA feature  independent transcript,,independent transcript,,
